current_model_size,mean_confidence,bottom_window_confidence,tail_confidence,least_grouped_confidence,target_class
32,11.32,11.31957027,11.31957027,11.31957027,0
32,9.455,8.35067862,9.121322754,7.572,0
32,10.527,8.212840066,12.19015039,6.873,0
32,11.259,11.04377441,11.10204004,10.529,0
32,8.786,6.312371301,12.41391162,5.972,0
32,8.586,7.192234302,10.24626074,6.052,0
32,7.003,5.784265393,8.705030762,5.441,0
32,10.007,10.0074187,10.0074187,10.0074187,0
32,11.487,11.43412751,11.4741875,10.707,0
32,9.583,9.21037184,9.679277344,8.12,0
32,9.01,8.251359987,9.282145996,7.677,0
32,6.187,5.302764996,5.875147461,4.719,0
32,6.825,6.227841148,6.652394531,5.48,0
32,7.836,6.516809008,9.32044043,6.239,0
32,7.929,7.050515351,8.653292969,6.145,0
32,7.842,6.862491734,9.04829834,6.561,0
32,6.571,6.157106165,6.440841797,5.977,0
32,7.762,6.911830963,8.791220215,6.416,0
32,7.791,6.589407636,7.762806152,6.011,0
32,8.214,7.744441269,8.378577637,6.713,0
32,7.217,5.909256296,9.695797852,5.564,0
32,10.104,8.615455745,12.68338525,7.971,0
32,9.125,9.12545196,9.12545196,8.337,0
32,7.682,6.297808381,10.2777749,5.597,0
32,10.383,10.1295961,10.73238574,9.586,0
32,10.451,9.334475229,11.81798486,8.637,0
32,7.582,6.395407592,8.422392578,5.819,0
32,7.103,5.834755498,6.317244629,5.45,0
32,6.694,5.837082582,7.097234863,5.65,0
32,6.97,5.98591157,7.177966797,5.696,0
32,6.804,5.585394161,7.034864746,5.131,0
32,7.804,6.969604769,7.907094727,6.333,0
32,8.744,7.308853599,10.21094775,6.277,0
32,12.838,12.83835791,12.83835791,12.741,0
32,9.112,7.633202633,10.92228857,7.17,0
32,10.143,7.362878159,12.23940381,6.902,0
32,8.222,7.489138104,9.379126953,6.788,0
32,7.618,6.737725297,8.54453125,6.422,0
32,8.84,7.199819146,10.63139307,6.482,0
32,6.858,6.035299595,8.32829834,5.49,0
32,7.98,6.524321801,9.639462891,5.901,0
32,9.057,8.11720576,10.31166064,6.567,0
32,11.984,11.48090605,11.74341455,10.433,0
32,10.37,9.329786501,10.16432471,8.485,0
32,9.157,8.703250694,9.200165039,7.909,0
32,8.439,7.814484548,8.543269043,7.642,0
32,9.023,8.565795699,9.437185547,8.285,0
32,9.18,8.02161705,8.882991699,7.121,0
32,8.306,7.769845624,8.22524707,7.329,0
32,7.756,6.911669634,8.374028809,6.34,0
32,9.023,8.602316423,9.349866699,8.289,0
32,10.821,10.43808246,10.59187939,9.895,0
32,10.604,9.845826941,11.19146387,8.893,1
32,9.543,8.727408778,10.47335254,7.253,0
32,5.942,5.22302285,7.053056152,4.991,0
32,8.364,5.925781668,11.35708496,5.659,0
32,6.427,5.506098756,6.348722168,5.231,0
32,8.566,6.980463815,10.25049072,6.575,0
32,6.617,5.868296402,8.373739258,5.372,0
32,8.26,6.742547642,10.25764893,6.091,0
32,6.974,5.876461341,8.15419043,5.371,0
32,6.874,5.648624191,6.733943848,5.108,0
32,5.886,4.826379882,7.842893066,4.65,0
32,6.454,5.557310739,8.553848633,5.362,0
32,5.987,5.247547768,7.223677734,5.032,0
32,7.589,6.620219148,7.841152344,6.209,0
32,8.573,6.299783074,11.61013916,5.488,0
32,8.94,6.982191528,11.66112744,6.464,0
32,7.569,6.065736334,10.53816064,5.717,0
32,10.717,9.950852531,11.30876904,9.326,0
32,11.121,10.84243088,11.01959961,10.445,0
32,9.737,8.96186017,10.54394775,8.646,0
32,8.183,6.862768259,8.26229834,6.367,0
32,8.996,8.603350784,9.118208984,7.552,0
32,8.432,7.537622015,8.672559082,6.966,0
